X1_Sector,X2_Capital_Inicial,X3_Antiguedad,X4_Digitalizacion,X5_Costos_Op,X6_Activos_Fijos,X7_Credito,X8_Competencia,X9_Capacidad,X10_Marketing,Y_Rentabilidad,X11_Ingresos_Totales
46_Comercio,382903.4081,12,0.548281579,151605.672,198611.0982,1,8,96.19762571,15038.17231,20.22583776,208894.5088
81_Servicios,281332.8201,19,0.620031678,32102.81835,143344.0815,1,6,57.67152943,1073.152453,23.37441661,43296.20648
72_Restaurantes,1187409.996,24,0.204597521,66694.40411,797618.9509,0,9,77.64753626,3804.693726,6.867607975,75697.72053
46_Comercio,358864.8648,13,0.490175095,253304.553,195977.6269,0,5,61.10131017,18590.21888,6.031940463,289348.0755
46_Comercio,768297.348,4,0.81725722,282967.6419,404978.7989,0,8,94.0271327,26010.07425,8.211909746,336620.7045
46_Comercio,1165342.675,13,0.354367865,205635.7025,916327.2989,0,3,96.8025434,11250.88433,25.56321213,291370.1585
81_Servicios,657434.8411,13,0.414059664,44906.9841,351605.5076,0,6,79.8097757,3564.24573,6.202690608,51676.56742
72_Restaurantes,2942422.218,8,0.352028697,195862.0071,1841692.353,0,4,48.14936064,15336.16482,22.92893881,274030.4449
81_Servicios,175208.5762,22,0.620245985,44696.17586,95789.515,0,8,48.0820611,1509.82887,7.326019737,49858.66001
81_Servicios,227820.0508,25,0.188034841,31396.66479,181498.4426,1,10,48.69266947,2959.411891,7.517347388,37148.67136
81_Servicios,378917.9485,11,0.89120656,13732.5317,276299.836,1,5,85.8569535,1274.715808,22.19802677,19289.03199
46_Comercio,648542.371,12,0.74722616,113011.3453,512453.6605,1,5,93.15241104,3570.005705,26.08932569,157732.7661
81_Servicios,80486.96802,19,0.442787318,24660.17225,44741.29229,1,2,69.23088638,1884.950831,8.725643698,29082.78312
81_Servicios,314517.2097,8,0.444535719,69184.00361,215358.7608,0,8,62.8979628,2965.498669,12.97999423,82911.39679
72_Restaurantes,835397.3214,15,0.11493454,131509.2645,548353.9476,0,3,65.62179761,8574.799482,7.959313164,152197.9777
46_Comercio,642071.7947,12,0.781006279,341191.3859,380033.3692,1,2,50.12262741,4374.866553,19.13459298,427335.0808
72_Restaurantes,789344.3766,7,0.528885133,96564.51542,447795.7626,0,1,75.05939001,8705.812583,6.95926406,113144.3415
72_Restaurantes,769547.5076,12,0.409225972,106802.7933,520299.7094,1,8,91.60057262,8627.044873,10.73591632,129312.7464
46_Comercio,556387.2454,17,0.279054469,442265.9624,393406.4149,0,7,94.94510434,38053.84878,11.77303068,544413.8168
46_Comercio,542648.029,1,0.809734951,127852.9409,414389.0594,0,1,70.24749493,4868.393911,10.86557177,148900.1921
72_Restaurantes,1032913.262,16,0.703274922,131724.7053,710247.6997,0,2,94.37586099,1671.787893,15.7317104,158299.7516
46_Comercio,1124898.88,10,0.119336282,170731.3333,670704.9151,0,7,78.31033155,13464.71519,9.355042692,203206.0624
46_Comercio,1247111.187,19,0.862461271,173902.2151,681879.4062,1,5,53.01166797,9084.797894,26.01522513,247330.6343
81_Servicios,143091.4104,20,0.440196315,33023.16592,74862.24967,0,9,78.21901766,2142.015186,8.573337213,38462.71978
72_Restaurantes,2670289.38,7,0.237207841,98823.8964,1483173.229,0,1,51.1604356,9395.200495,12.91291834,124265.3845
72_Restaurantes,2848984.799,4,0.807742373,340096.9068,1571649.932,0,3,65.97340033,28560.4368,20.67336074,464733.3444
46_Comercio,512656.9429,7,0.350730692,165412.8158,309884.5173,0,6,79.81115267,6822.134665,23.09051416,223945.0032
81_Servicios,138950.9704,20,0.301929943,62863.32112,109578.1531,1,2,59.97968198,3588.382129,6.69059503,71216.51164
46_Comercio,585217.0483,10,0.818210862,323889.3713,442579.5923,0,6,79.01188276,32201.21463,17.68537031,432596.9603
72_Restaurantes,1919181.223,4,0.834925289,148977.5756,1020965.324,0,3,99.1063349,12617.53953,9.330850952,178225.0267
81_Servicios,303714.8079,21,0.897053904,32581.59158,240120.0648,1,1,74.34832785,3201.270457,12.04208962,40681.80096
46_Comercio,525003.5445,1,0.556190372,225549.0776,354368.2488,1,7,95.12481609,21407.52992,16.71626776,296524.4242
46_Comercio,1000295.011,9,0.393706268,482083.1772,746328.5145,0,7,73.79796856,7632.475564,21.91805812,627181.7029
81_Servicios,254133.679,19,0.179209925,57046.11634,160027.5715,0,2,71.71506932,3508.636595,12.72778213,69386.05941
72_Restaurantes,446658.1363,21,0.1908676,131470.124,290959.7243,0,10,48.72439464,2438.658177,22.85325036,173576.7
46_Comercio,572116.8236,18,0.710801668,240968.7902,445808.8427,1,2,68.75950431,20662.3498,18.09922425,319448.9157
46_Comercio,383431.4026,18,0.291123757,333360.1044,222568.3315,0,5,55.491698,10111.06894,8.794239309,376589.3412
81_Servicios,417330.6061,20,0.368127905,34539.67052,260574.0785,0,10,81.28139733,1909.284046,26.02464962,49271.75658
46_Comercio,772345.9958,23,0.46555108,151971.6512,526124.532,0,8,95.01663353,4231.413459,15.32386429,184471.1776
72_Restaurantes,1262420.183,12,0.497666328,64681.49848,697674.3621,0,2,66.32729615,3989.220267,19.11810974,84902.46521
72_Restaurantes,1809857.252,21,0.534305318,73011.9713,1095769.094,0,2,59.97611997,1181.103756,23.91674416,97515.64157
46_Comercio,547934.172,17,0.239956811,126932.3235,316340.1549,0,4,41.80226879,6309.316255,10.65514071,149131.848
46_Comercio,898883.0861,13,0.315241783,304744.83,513303.0284,1,10,50.75155737,20509.71621,18.79309568,400525.7298
72_Restaurantes,1540521.883,15,0.786394463,70836.01212,842101.4609,0,4,58.83795529,1394.770681,10.15579939,80395.59851
81_Servicios,344514.179,23,0.32208866,26334.33818,258471.1348,0,7,84.37719155,1652.067705,13.45343661,32336.81938
81_Servicios,296290.4104,21,0.611425492,17971.56099,220849.4722,1,2,82.20581759,983.6476072,25.77849951,25538.70304
81_Servicios,349691.2693,1,0.671887681,30450.07179,253661.2478,1,4,66.44762447,3372.000515,19.85486885,42201.03182
81_Servicios,700211.2151,1,0.669056709,37104.07887,468453.4044,0,9,42.86863127,3865.675175,20.99254528,51855.55489
46_Comercio,830437.6173,1,0.746534598,390571.6899,629342.2957,1,5,74.34792094,26540.60896,7.177863692,449367.2689
72_Restaurantes,1096963.611,24,0.350711366,90810.0121,680726.695,1,4,97.71263547,4949.339352,8.796336579,104995.0713
46_Comercio,799791.4569,12,0.859681718,484658.3513,406941.8031,0,4,53.32029012,39218.64953,9.731979874,580357.2518
72_Restaurantes,933899.2524,24,0.493795662,198044.5104,683621.3589,1,3,74.73489393,14981.90646,8.836957178,233676.2906
72_Restaurantes,1286112.629,17,0.692556933,272115.3003,740889.1012,1,8,80.17882522,26606.66801,16.82735437,359158.911
81_Servicios,208517.3268,16,0.3381264,42531.22073,139999.7401,1,3,53.0146223,3976.21335,12.63935311,53236.13748
46_Comercio,845423.5894,11,0.148729781,94124.35236,670039.6321,0,5,57.404565,8406.524933,13.08586266,117968.0089
72_Restaurantes,1405215.234,14,0.826919887,75424.39165,898422.4115,0,2,95.67805211,3357.562217,25.34009745,105521.1046
72_Restaurantes,1738918.873,20,0.579724428,92664.18033,1031361.821,0,1,50.03002366,9380.097972,15.71506602,121070.6036
81_Servicios,228339.0374,18,0.730623031,43858.59639,165826.2433,0,6,45.51653052,1856.531195,16.26870934,54597.42376
81_Servicios,160342.9934,1,0.369756758,61200.7336,124532.25,0,6,55.60533366,3420.813146,25.93806916,87253.39188
81_Servicios,140309.1739,7,0.330557652,36665.76624,84500.18046,1,5,80.23472479,2080.185355,5.246507567,40891.31767
72_Restaurantes,1554673.553,22,0.485358839,60112.87378,1214736.053,0,2,44.14114176,2062.164853,10.99052938,69852.1609
81_Servicios,251949.3045,17,0.615627576,14279.05853,189539.167,0,7,43.73534989,531.3708435,13.20434793,17063.56138
46_Comercio,1032516.552,2,0.165142151,526222.2282,590618.7585,1,3,92.35201895,35571.73898,17.00231572,676879.0865
81_Servicios,193289.4661,9,0.370466095,25543.74876,112557.8085,0,8,42.24387722,1329.991897,13.47240428,31057.99997
46_Comercio,1335943.421,3,0.136092703,325584.4875,902495.985,1,2,43.81821005,13192.95434,25.52954135,454915.208
46_Comercio,1009212.359,5,0.551301555,254131.7626,590136.4879,0,9,94.28409939,13991.86917,22.54225538,346154.7106
81_Servicios,293027.7624,19,0.519275151,19882.36094,232371.3291,0,3,95.96092478,1118.250277,25.66967198,28253.08561
72_Restaurantes,1185784.254,16,0.443413233,71833.9296,915111.5751,1,10,89.02432908,6492.869569,16.78866098,94129.95884
81_Servicios,160601.1103,16,0.52439939,30733.18068,101666.6104,1,5,54.87348326,976.7036975,18.90315589,39101.2557
46_Comercio,759315.1956,19,0.263771158,171423.0948,529825.5997,0,1,61.00621405,5433.103365,9.145869292,194659.5018
46_Comercio,1288707.784,16,0.218938051,307371.1419,826234.2398,0,5,86.76357104,4296.544844,14.77016298,365679.0833
72_Restaurantes,2787881.097,11,0.325909213,197822.5635,2055868.954,0,2,85.0115424,19156.11968,10.68895601,242947.2029
46_Comercio,450610.4543,2,0.102370176,271047.9168,288205.6543,1,1,94.81316269,21663.64845,8.206690262,318881.1538
46_Comercio,666108.8829,8,0.2308992,422480.7749,449154.0836,1,3,47.95569128,12215.98907,15.73169644,515848.4811
72_Restaurantes,1233770.615,22,0.269448091,102592.2825,770254.0983,0,7,48.61534931,7865.327298,14.99980802,129949.8356
46_Comercio,267748.8678,9,0.20185541,234546.5339,173737.6625,0,9,54.81926896,21510.10167,18.69060989,314916.4387
81_Servicios,197202.253,21,0.289710596,37974.62803,141792.6862,1,10,90.68172876,3446.401879,11.64584165,46880.67962
46_Comercio,459054.6398,3,0.169156603,171711.8223,267836.4285,0,5,47.88194066,13824.38795,13.62409803,214800.8947
81_Servicios,212053.8149,2,0.754494141,36945.41921,129799.4591,0,5,50.1442882,3068.09996,5.925338948,42533.79042
46_Comercio,1102042.444,5,0.506531032,226425.533,813419.0547,1,6,96.18706207,9827.12682,17.79995524,287411.8385
46_Comercio,1541954.73,13,0.317110551,298284.4823,1037144.483,0,8,63.10962026,8803.262826,11.01486481,345100.049
46_Comercio,632863.3119,23,0.548895793,180228.9186,449213.3176,0,10,79.48776829,14720.62051,16.91708545,234644.5598
46_Comercio,939942.7717,1,0.385002434,100574.4423,726522.5682,0,3,72.00644097,9312.545358,9.247338744,121084.0389
46_Comercio,422823.5871,22,0.691619547,243394.4458,313870.0178,1,7,76.07766459,10021.45201,22.4284663,326686.7183
81_Servicios,221975.0884,13,0.554023735,17761.53661,168040.0032,0,5,57.42394169,1030.129824,6.747071325,20151.28822
81_Servicios,113466.3518,5,0.690595983,39927.63873,75062.1917,0,8,45.97633738,1723.740827,15.41181506,49240.18596
72_Restaurantes,811044.6301,19,0.171869928,128190.4219,563543.2229,1,4,51.33887914,9915.224519,16.4660447,165328.7528
46_Comercio,1215758.413,25,0.549345111,146030.2835,632886.679,0,4,97.63110802,1983.119316,23.32625875,193043.1467
72_Restaurantes,3180354.794,2,0.191327168,153688.5213,1918128.388,0,1,85.19772627,11249.11231,15.09184137,194254.1639
46_Comercio,852735.9457,21,0.232432636,291250.132,449277.9102,1,1,74.78243435,12237.37751,21.72745877,387731.77
46_Comercio,994319.5886,11,0.452612198,79217.65464,759118.2843,0,6,47.0803537,7121.360733,15.13984171,101742.6989
81_Servicios,188826.6226,19,0.59424123,50653.76962,108319.2136,0,7,58.79983525,3873.006887,3.588406425,56556.24441
72_Restaurantes,843279.537,7,0.491031193,185337.8434,666982.9086,0,4,57.949684,7973.804197,6.865242775,207561.2299
46_Comercio,826206.5608,18,0.155384101,128949.0326,601530.5567,1,9,84.12340603,5120.37769,21.0763415,169872.27
81_Servicios,235662.1551,24,0.488137495,19126.64006,153688.4547,0,7,57.59622312,458.2475868,12.45941973,22372.35302
72_Restaurantes,1015048.292,10,0.373555109,56668.49797,635537.9528,0,3,77.89198775,2040.089903,12.57797258,67155.37217
72_Restaurantes,1084487.882,5,0.733945466,117998.2513,585329.2597,0,3,59.23363291,11630.04088,17.65297746,157417.0968
72_Restaurantes,1214889.978,6,0.85292756,74525.74555,831072.0038,0,2,87.34290198,4556.327349,22.07952595,101490.7492
81_Servicios,673027.4254,8,0.528000337,17314.21041,491884.8914,0,7,44.49413221,1290.53296,12.29470814,21212.79454
72_Restaurantes,1192863.793,14,0.780506719,126428.9665,830897.3801,1,2,82.76083066,11967.45429,16.94240473,166627.05
81_Servicios,312258.4206,11,0.789978002,11025.15857,206636.6586,1,6,97.47577324,227.6244349,21.46690954,14328.71537
81_Servicios,203614.1933,17,0.723849449,34084.25511,133761.2159,0,3,89.76920839,2540.128309,8.357245606,39964.29795
72_Restaurantes,919194.9205,7,0.839815417,144826.1816,668884.5636,0,7,75.40289146,13091.44454,14.97269755,185725.7864
81_Servicios,508912.5047,11,0.60698781,36415.30407,308404.7824,0,6,81.77875505,2619.895595,14.56028318,45687.41695
72_Restaurantes,2392340.235,18,0.562616916,276748.9093,1548151.212,0,2,46.49046383,16871.09619,11.79849642,332896.8255
81_Servicios,269454.3994,23,0.58843187,32362.70699,141323.0758,1,9,41.27103175,2069.68279,12.10890721,39176.19942
72_Restaurantes,2160383.321,18,0.816817063,168327.0016,1184582.17,0,6,58.36519976,18054.15837,19.15744035,230548.3161
72_Restaurantes,728663.1713,9,0.644470382,75624.60883,391700.0837,0,4,68.46319218,3832.498851,22.39844267,102391.1251
72_Restaurantes,3219632.997,1,0.82537876,54756.76841,2175457.076,0,5,52.20337072,5582.563422,17.77049461,73379.17399
72_Restaurantes,1072698.754,7,0.602440524,75768.42581,754458.2585,0,1,59.12681091,6336.581971,23.49527561,107320.1798
46_Comercio,451089.2781,17,0.498150368,243481.4552,327416.1574,0,1,86.76660479,22329.81671,7.735922608,288098.3362
46_Comercio,622199.1903,9,0.672450262,60467.53914,496568.8764,0,5,59.5265449,1822.025751,24.63464937,82650.13613
81_Servicios,220359.2018,15,0.409623759,19690.8029,142564.2371,0,1,61.18135608,1846.114946,14.76394871,25267.38102
46_Comercio,434919.2508,23,0.764551684,170141.5233,299740.8295,0,9,83.67887279,11113.521,5.734765337,192281.9637
46_Comercio,1360288.795,8,0.815506461,292825.3678,846681.3453,0,2,51.71798416,11158.55341,16.69148237,364889.3653
81_Servicios,319089.8895,25,0.143715397,19790.3576,225467.8802,0,1,99.75350173,257.8734342,15.65283364,23768.70724
81_Servicios,370731.7274,15,0.304115713,21840.18372,288080.9508,0,2,70.69502068,2436.426626,20.32236012,30468.53595
72_Restaurantes,581700.029,15,0.75369574,205376.9404,351700.3168,0,9,99.42473053,20340.84585,16.73798586,271093.3534
46_Comercio,957699.5611,7,0.440892223,188211.6218,630691.0031,1,6,70.5409629,5625.715731,14.17060427,225840.2682
46_Comercio,843199.2986,3,0.650001674,524592.2052,521655.0477,0,7,49.73916972,28625.28245,8.814067206,606691.702
46_Comercio,1551854.924,10,0.610162281,214629.4502,1044247.685,0,9,71.62606115,17676.90388,5.701679229,246352.5885
46_Comercio,1038943.62,6,0.742051627,267065.6876,577207.4559,0,2,50.94984129,19126.97526,4.685852907,300262.523
72_Restaurantes,634703.7273,17,0.699681646,84891.82343,477129.1809,1,6,85.72956543,5017.854107,22.98182981,116738.2675
72_Restaurantes,887045.175,19,0.391355376,78529.80092,554386.6487,0,4,82.62140401,6075.190106,12.40733593,96589.12869
72_Restaurantes,1320538.139,12,0.592453724,110049.4108,783004.1832,0,10,89.36439693,6231.001899,10.66060074,130155.8032
72_Restaurantes,2093811.302,21,0.612023252,124523.886,1132949.064,0,4,41.44131363,3145.774477,18.47797502,156607.5677
72_Restaurantes,1054051.02,21,0.884867787,104942.0297,711231.1488,0,10,81.92297244,8352.310402,19.42170962,140601.5684
46_Comercio,737982.8921,20,0.5374297,252526.9908,580837.291,0,8,56.94734073,15582.86816,4.873302248,281845.0186
81_Servicios,213208.817,20,0.874531224,20494.29982,163989.8385,1,5,55.71007685,1458.043983,3.926773942,22849.59577
81_Servicios,177921.58,15,0.55381943,31453.56907,92331.72844,1,7,74.16509754,1522.466013,17.82229614,40127.71534
46_Comercio,538273.3299,19,0.496444552,119572.4309,286259.9708,0,2,61.67367253,7427.603001,17.96989631,154821.2525
46_Comercio,634532.7757,8,0.853713986,274329.4563,455747.7376,0,5,69.3255046,4220.701687,14.49511057,325771.0288
72_Restaurantes,1279352.911,15,0.798820689,92531.13881,953024.9652,1,1,80.68344497,4704.615161,9.008030705,106861.9074
46_Comercio,521393.9998,16,0.73414199,324874.3659,363193.0247,0,10,84.19319859,12438.19548,13.48594488,389893.3658
72_Restaurantes,820222.2072,1,0.146279525,91642.5367,627902.998,0,4,99.36137348,1531.714682,27.83870719,129119.432
46_Comercio,1415392.03,3,0.455190571,221664.602,1009380.91,0,8,70.29661784,5941.200158,17.96081624,277435.4786
81_Servicios,225004.7035,4,0.454761404,43608.91987,119456.9862,0,8,72.48341321,2148.074818,18.27305978,55987.65176
81_Servicios,185937.4688,11,0.202851987,63025.36594,100158.8898,0,1,51.32136259,4384.59661,6.497329548,72094.15755
46_Comercio,1985687.521,14,0.77753808,144428.0552,1510887.312,0,5,42.11899652,4962.128661,14.72860738,175193.7892
46_Comercio,2039318.661,8,0.796316727,215762.4334,1374504.801,1,7,80.62828483,5338.848144,17.28757879,267313.2745
46_Comercio,382453.7579,20,0.723204315,99529.47337,275946.0141,1,10,90.73700601,3261.790546,25.10228014,137242.1806
81_Servicios,217235.7733,17,0.725424391,35139.96371,140801.1639,1,3,81.65214625,3144.575178,14.89147268,44983.1998
46_Comercio,615756.9002,21,0.521855744,186349.2104,424388.6619,1,5,96.8378178,2985.027675,18.46018043,232198.5002
72_Restaurantes,2448056.254,10,0.542406337,152718.0901,1568050.305,1,6,59.50494794,4092.416455,13.66332703,181626.7655
81_Servicios,199500.6252,19,0.118370299,31598.73141,152316.0563,1,2,96.24712517,2089.199032,4.535385795,35288.39531
46_Comercio,607800.1299,17,0.334716916,156284.251,323896.2434,0,1,50.60617903,10305.4523,24.67253236,221153.994
46_Comercio,391185.1629,18,0.145363721,404046.5163,296966.2168,0,5,96.6330946,8958.463045,22.20803895,530909.5873
46_Comercio,877488.2162,5,0.428919146,144547.3029,551979.7732,0,2,78.74216382,8049.556396,9.988101062,169529.6524
72_Restaurantes,655402.0548,3,0.196864555,98659.5338,501052.1338,0,6,68.25621016,6436.2872,18.87305575,129544.9027
81_Servicios,240900.4839,20,0.482467217,50392.03334,155154.6221,1,9,90.89070055,2926.110201,15.24366677,62907.56278
46_Comercio,569492.0422,4,0.527397689,201503.0524,329028.5519,0,6,81.20196616,5574.721458,14.19483035,241334.8457
72_Restaurantes,2775642.963,2,0.267023144,166837.7885,1593652.197,0,5,97.19947964,14509.80789,5.237617193,191370.87
46_Comercio,348818.6123,14,0.812685572,230829.0155,271329.3519,0,2,93.2543107,16744.60029,3.670591713,257007.3046
72_Restaurantes,1414490.45,3,0.849216151,216029.8973,895871.1424,0,7,71.52979441,17962.90017,17.39321245,283260.9819
46_Comercio,584001.8892,2,0.315608497,259264.3524,344526.4308,0,9,81.64067676,6520.054545,25.06375791,354680.7254
72_Restaurantes,2879756.979,21,0.354568751,163467.9344,2228642.081,1,5,90.16925952,9616.920397,4.715980868,181651.505
46_Comercio,640917.1256,22,0.515734317,217574.1518,457839.3587,0,5,60.54078484,8336.578368,20.35714334,283654.7302
72_Restaurantes,2001433.214,12,0.576324215,99246.73926,1186307.041,0,8,56.76079224,6209.634293,5.020108462,111030.2105
72_Restaurantes,809697.6125,4,0.355592644,84999.66012,631631.0743,0,6,79.09378253,7005.580177,8.0472398,100057.0729
46_Comercio,865074.375,1,0.637513613,155719.9172,450326.3518,0,7,97.45476266,6277.14126,15.48837471,191686.1235
72_Restaurantes,1302418.312,12,0.871447245,141210.8685,722644.4944,1,4,73.04127904,6659.708274,17.39559677,179010.526
46_Comercio,387873.0282,3,0.190869854,204676.933,295871.602,0,5,94.17030871,3298.261643,13.76687066,241177.8352
46_Comercio,377468.2375,13,0.14211369,185026.3615,229771.7241,0,5,46.00687268,10571.19161,10.11096495,217598.9018
72_Restaurantes,723820.0663,9,0.120837532,527915.83,371364.4064,0,3,43.47638111,26259.36537,14.07837411,644977.5474
81_Servicios,304053.2524,22,0.329554807,7265.97612,225403.8291,0,4,44.72160325,157.6933593,27.49963972,10239.49323
46_Comercio,810718.3825,1,0.6893215,218101.9044,607300.136,0,2,60.89997369,16462.08387,11.14099172,263973.2232
81_Servicios,235330.0836,12,0.794482971,141160.5556,186770.5619,0,10,92.81648552,5866.729564,7.227409458,158481.3836
46_Comercio,598494.3856,13,0.748100342,155703.6954,433570.8082,1,5,50.01473277,15153.59015,19.45322409,212121.8181
81_Servicios,157053.8778,12,0.855886182,17967.58168,79779.62979,1,3,87.32524478,1243.756124,18.2634591,23503.97704
46_Comercio,378900.368,21,0.115142112,198757.7557,243950.9035,0,5,52.33251406,11487.89106,12.63688022,240657.2101
46_Comercio,323122.6204,3,0.548167522,106347.1836,205894.0582,0,4,78.86524513,8679.863262,19.41680802,142743.2248
46_Comercio,576313.9427,18,0.312487566,226444.9983,445595.0543,0,1,88.61724163,10445.50108,7.776801706,256866.4975
81_Servicios,289350.6615,18,0.759525557,38952.23447,164913.3679,0,1,67.76462009,1627.643731,21.21064998,51504.26826
72_Restaurantes,2330608.529,10,0.592611196,89869.52982,1856282.049,0,4,45.24798046,4387.59252,13.03339393,108383.1215
46_Comercio,333244.5697,10,0.14501999,397373.5978,178317.9931,1,9,84.0312895,4713.554955,11.12779979,452432.9901
46_Comercio,870850.3269,3,0.745768797,335719.5569,478979.8138,0,4,80.33142524,10587.49999,13.88384624,402139.4846
46_Comercio,303372.6993,16,0.506280115,321958.4933,191242.9619,0,4,72.69893685,13688.06879,6.368081186,358474.5099
81_Servicios,217674.7613,10,0.171607927,70150.31005,160906.0742,0,8,55.3172038,4517.728855,6.325268387,79709.90429
46_Comercio,522181.9561,23,0.417084938,306816.2689,353029.8816,0,6,41.29688307,12145.15213,18.8735428,393165.7217
72_Restaurantes,1671212.032,22,0.625912956,85169.75122,1016958.298,1,7,90.36968538,1010.456264,9.375135563,95095.54361
72_Restaurantes,1792273.296,10,0.775656405,49611.76038,1208946.017,0,10,90.60103291,2509.535681,19.18467808,64494.32461
46_Comercio,1090448.015,11,0.695531771,277816.5858,595668.3852,1,8,83.15136086,24041.67859,5.742703129,320249.2268
72_Restaurantes,2077836.173,12,0.387493821,56297.35107,1473950.102,0,8,54.2207815,3683.491582,23.25463282,78155.65272
81_Servicios,127321.6631,15,0.688159267,38641.09219,89799.76526,0,7,67.98915279,999.6736337,13.30452368,45724.14561
72_Restaurantes,791592.7099,1,0.690915569,107298.9998,534183.5189,1,7,67.61171586,7342.562278,8.313000175,125035.7873
81_Servicios,258185.2981,16,0.872005706,22215.77494,142506.8021,0,2,98.85276102,1355.004952,11.17151969,26535.16058
81_Servicios,304204.4797,21,0.409950811,73781.12466,227320.6897,0,5,77.15099151,4378.281407,15.41532797,92403.74667
81_Servicios,205596.0118,23,0.346885962,11681.93325,110983.3604,1,2,69.59571517,898.2419816,20.40100061,15804.43891
81_Servicios,329554.6259,1,0.407364826,27651.97109,185607.25,0,1,89.7706416,1997.050564,22.23986086,38128.81764
46_Comercio,823957.6232,9,0.41907313,233312.2645,590187.4167,1,1,76.30010294,11862.96015,23.5631637,320755.3276
81_Servicios,142077.7462,13,0.768649649,35767.75037,112553.2854,1,8,43.87844165,1471.916806,25.95565057,50293.7327
81_Servicios,194740.9223,14,0.642655427,66056.49719,127650.2949,0,8,52.5282374,2314.234611,9.298810352,75380.19299
72_Restaurantes,1272357.171,7,0.873406955,129886.5599,989827.9298,0,1,92.8816432,10316.43034,9.507166006,154932.6991
46_Comercio,1264859.892,22,0.89426466,195779.1725,963178.9827,0,7,48.21722135,9614.853778,18.94691124,253406.7849
81_Servicios,412808.3485,7,0.337700746,25146.4195,301816.9557,0,3,91.39901739,383.7019059,20.71273491,32199.52332
72_Restaurantes,1683341.547,19,0.389000464,81653.33351,870271.2842,0,6,50.24198833,3533.295105,17.79809537,103630.9669
81_Servicios,150946.125,18,0.107843693,56132.92583,78969.31253,1,4,49.04931568,4522.206876,8.790950695,66501.22238
46_Comercio,718703.5578,23,0.562188616,298465.5762,511589.647,1,10,55.82432183,31109.99994,21.46391493,419648.5932
46_Comercio,1052440.672,18,0.2925382,181208.8108,688420.3431,1,2,53.58342421,12147.12587,4.078785577,201577.8655
72_Restaurantes,1277731.687,16,0.127447031,163388.3176,824699.0152,0,1,69.01234307,3360.920969,12.83787101,191309.2768
72_Restaurantes,1700498.069,12,0.877853648,141494.0309,861976.8851,0,2,99.53427061,6783.46777,9.454805185,163760.7594
81_Servicios,248178.5919,7,0.20591882,59359.24322,173028.5139,0,8,84.50294121,3194.749023,16.1805472,74629.44478
72_Restaurantes,1275991.514,17,0.344770141,53388.04195,804363.6559,1,9,57.6954738,1913.220538,9.996144668,61443.21516
